-------------------------------------------------
Time	| Thread | Register Num	| Wr Data	|
-------------------------------------------------
10560.0 	|	00 	|	x15 		|         5 	| 
10640.0 	|	00 	|	x15 		|         3 	| 
10680.0 	|	00 	|	x15 		|        12 	| 
10720.0 	|	00 	|	x14 		|   4198096 	| 
10760.0 	|	00 	|	x13 		|   4198108 	| 
10800.0 	|	00 	|	x15 		|         3 	| 
10840.0 	|	00 	|	x15 		|         4 	| 
10880.0 	|	00 	|	x15 		|        16 	| 
10920.0 	|	00 	|	x14 		|   4198096 	| 
10960.0 	|	00 	|	x15 		|   4198112 	| 
11000.0 	|	00 	|	x11 		|   4198112 	| 
11040.0 	|	00 	|	x10 		|   4198108 	| 
11080.0 	|	00 	|	x 1 		|       348 	| 
11120.0 	|	00 	|	x 2 		|   4198000 	| 
11200.0 	|	00 	|	x 8 		|   4198048 	| 
11320.0 	|	00 	|	x15 		|   4198108 	| 
11360.0 	|	00 	|	x15 		|         6 	| 
11440.0 	|	00 	|	x15 		|   4198112 	| 
11480.0 	|	00 	|	x14 		|         5 	| 
11520.0 	|	00 	|	x15 		|   4198108 	| 
11600.0 	|	00 	|	x15 		|   4198112 	| 
11640.0 	|	00 	|	x14 		|         6 	| 
11760.0 	|	00 	|	x 8 		|   4198096 	| 
11800.0 	|	00 	|	x 2 		|   4198048 	| 
11880.0 	|	00 	|	x15 		|         3 	| 
11920.0 	|	00 	|	x15 		|         4 	| 
12000.0 	|	00 	|	x14 		|         8 	| 
12040.0 	|	00 	|	x15 		|         0 	| 
12080.0 	|	00 	|	x15 		|         8 	| 
12120.0 	|	00 	|	x15 		|         7 	| 
12160.0 	|	00 	|	x14 		|         4 	| 
12240.0 	|	00 	|	x15 		|         4 	| 
12280.0 	|	00 	|	x15 		|        16 	| 
12320.0 	|	00 	|	x14 		|   4198096 	| 
12360.0 	|	00 	|	x15 		|   4198112 	| 
12400.0 	|	00 	|	x14 		|         6 	| 
12440.0 	|	00 	|	x15 		|         4 	| 
12480.0 	|	00 	|	x15 		|         5 	| 
12520.0 	|	00 	|	x15 		|        20 	| 
12560.0 	|	00 	|	x13 		|   4198096 	| 
12600.0 	|	00 	|	x15 		|   4198116 	| 
12640.0 	|	00 	|	x15 		|         9 	| 
12720.0 	|	00 	|	x15 		|         4 	| 
12760.0 	|	00 	|	x15 		|         5 	| 
12840.0 	|	00 	|	x14 		|         8 	| 
12880.0 	|	00 	|	x15 		|         0 	| 
12920.0 	|	00 	|	x15 		|         8 	| 
12960.0 	|	00 	|	x15 		|         7 	| 
13000.0 	|	00 	|	x14 		|         5 	| 
13080.0 	|	00 	|	x15 		|         5 	| 
13120.0 	|	00 	|	x15 		|        20 	| 
13160.0 	|	00 	|	x14 		|   4198096 	| 
13200.0 	|	00 	|	x15 		|   4198116 	| 
13240.0 	|	00 	|	x14 		|         9 	| 
13280.0 	|	00 	|	x15 		|         5 	| 
13320.0 	|	00 	|	x15 		|         6 	| 
13360.0 	|	00 	|	x15 		|        24 	| 
13400.0 	|	00 	|	x13 		|   4198096 	| 
13440.0 	|	00 	|	x15 		|   4198120 	| 
13480.0 	|	00 	|	x15 		|        50 	| 
13560.0 	|	00 	|	x15 		|         5 	| 
13600.0 	|	00 	|	x15 		|         6 	| 
13680.0 	|	00 	|	x14 		|         8 	| 
13720.0 	|	00 	|	x15 		|         0 	| 
13760.0 	|	00 	|	x15 		|         8 	| 
13800.0 	|	00 	|	x15 		|         7 	| 
13840.0 	|	00 	|	x14 		|         6 	| 
13920.0 	|	00 	|	x15 		|         6 	| 
13960.0 	|	00 	|	x15 		|        24 	| 
14000.0 	|	00 	|	x14 		|   4198096 	| 
14040.0 	|	00 	|	x15 		|   4198120 	| 
14080.0 	|	00 	|	x14 		|        50 	| 
14120.0 	|	00 	|	x15 		|         6 	| 
14160.0 	|	00 	|	x15 		|         7 	| 
14200.0 	|	00 	|	x15 		|        28 	| 
14240.0 	|	00 	|	x13 		|   4198096 	| 
14280.0 	|	00 	|	x15 		|   4198124 	| 
14320.0 	|	00 	|	x15 		|         2 	| 
14400.0 	|	00 	|	x15 		|         6 	| 
14440.0 	|	00 	|	x15 		|        24 	| 
14480.0 	|	00 	|	x14 		|   4198096 	| 
14520.0 	|	00 	|	x13 		|   4198120 	| 
14560.0 	|	00 	|	x15 		|         6 	| 
14600.0 	|	00 	|	x15 		|         7 	| 
14640.0 	|	00 	|	x15 		|        28 	| 
14680.0 	|	00 	|	x14 		|   4198096 	| 
14720.0 	|	00 	|	x15 		|   4198124 	| 
14760.0 	|	00 	|	x11 		|   4198124 	| 
14800.0 	|	00 	|	x10 		|   4198120 	| 
